Epoch: 181 | mean loss: -5704.15137 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 182 | mean loss: -5740.57617 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 183 | mean loss: -5783.08057 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 184 | mean loss: -5797.80713 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 185 | mean loss: -5880.44141 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 186 | mean loss: -5885.69482 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 187 | mean loss: -5917.41211 | total acc: 0.16667 | total recall: 0.00327 | total f1 scroe: 0.00641
Epoch: 188 | mean loss: -5949.06494 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 189 | mean loss: -5950.75684 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 190 | mean loss: -5997.09277 | total acc: 0.07692 | total recall: 0.00329 | total f1 scroe: 0.00631
Epoch: 191 | mean loss: -5999.11719 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 192 | mean loss: -6052.91455 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 193 | mean loss: -6016.87451 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 194 | mean loss: -6116.68359 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 195 | mean loss: -6176.27979 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 196 | mean loss: -6192.96777 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 197 | mean loss: -6218.89551 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 198 | mean loss: -6257.55176 | total acc: 0.06250 | total recall: 0.00328 | total f1 scroe: 0.00623
Epoch: 199 | mean loss: -6274.16113 | total acc: 0.08333 | total recall: 0.00660 | total f1 scroe: 0.01223
